Actual,Predicted
13,21.016829
60,20.89966
60,19.727726
43,21.016829
23,25.004004
20,25.350262
67,24.3368
14,18.800856
27,25.079632
51,29.366257
13,19.280237
33,20.681828
18,25.885218
30,30.855173
18,20.100372
76,28.187267
11,17.76339
13,24.993534
11,18.813597
22,25.172138
12,14.935228
22,22.487389
20,18.813597
53,23.269691
36,22.400293
48,21.934532
43,23.935474
44,19.00225
14,18.718859
12,18.005014
15,22.491522
15,24.004372
13,22.875174
47,21.77422
21,22.052666
30,19.779888
15,23.28474
21,21.430891
15,23.12525
20,24.450153
16,23.379416
15,18.95245
14,18.12072
28,19.47765
18,20.678839
26,18.349157
13,19.384262
17,22.918201
34,19.384262
18,21.81912
51,21.322962
18,24.502226
11,21.430891
50,25.463335
11,24.291468
12,19.089645
15,26.286964
15,18.457937
20,24.073225
20,21.29312
15,17.624111
23,28.660707
12,20.055721
19,21.454815
16,17.908972
16,17.606483
14,22.960373
40,26.250076
40,20.19916
17,17.728283
13,15.662325
51,25.584377
41,24.006731
21,19.729792
20,24.701616
25,17.48629
15,18.883657
22,19.012678
96,25.31763
18,17.624111
18,21.06214
20,20.055721
23,21.520664
12,19.596472
16,16.188063
19,17.861639
55,28.7424
46,22.922564
40,20.755636
40,25.244509
51,24.256187
30,26.672802
25,20.12892
27,17.989317
20,24.566252
17,20.794895
15,16.398252
11,14.461363
20,21.193266
13,16.172577
70,25.186174
24,23.897045
20,16.186932
11,17.266747
20,25.039944
12,17.800446
33,25.925034
19,18.208132
20,20.020294
20,19.700163
30,25.858143
12,19.956812
13,25.729046
15,21.345173
21,20.411377
36,20.055721
26,21.346308
35,17.46616
91,29.612215
13,20.139048
20,21.944715
15,20.671967
13,24.620985
20,21.22866
12,18.14936
26,21.454815
15,27.609184
20,26.138357
22,20.825132
11,19.56137
14,18.767271
34,25.180101
13,18.43204
29,25.883738
65,19.159904
12,19.071712
14,24.60818
14,23.729258
15,17.50305
33,24.798754
12,19.285305
12,20.027803
35,20.692343
18,19.82513
14,24.324999
35,28.69802
34,28.69802
13,24.131495
15,26.669952
15,25.218386
35,28.69802
34,28.69802
14,25.883738
69,22.965435
20,24.40024
13,25.180101
27,26.312344
15,18.69454
25,19.159904
22,19.569271
50,26.169498
15,19.694815
16,22.523064
55,25.420258
16,16.97239
23,16.97239
12,17.009768
18,19.159904
25,20.082973
16,22.76454
21,22.76454
40,22.76454
12,16.117756
18,22.80841
20,22.937557
20,17.661488
15,16.758902
16,16.758902
12,19.87856
13,23.729258
15,21.417814
14,24.324999
20,23.04542
18,18.874739
14,24.131495
34,25.180101
42,23.350225
37,21.957798
25,21.043354
25,19.764967
18,16.603195
13,18.07787
36,23.027569
21,16.339312
30,21.057959
36,24.066477
25,18.577795
25,19.217646
12,20.152721
14,18.521643
17,20.351488
28,21.178837
15,15.148802
11,22.91494
32,22.526436
12,16.716919
11,13.8846855
22,16.625145
15,16.724516
13,20.065819
16,21.795813
73,28.165022
11,20.135273
21,25.698992
38,25.698992
12,15.868244
20,18.535467
44,29.149784
23,21.670822
30,24.102695
14,21.91668
26,19.30712
